church_name,pastor,district,address,state,zip_code,phone
Chardon Assembly of God,,Ohio,"103 Center St Chardon, OH 44024",OH,44024,(440) 286-6461
Chester Christian Center Assembly of God,Reverend Gregory J Glodkowski,Ohio,"11815 Chillicothe Rd Chesterland, OH 44026",OH,44026,(440) 729-6203
Christ Culture Church,Reverend Klen Kuruvilla,Ohio,"15 Severance Cir Cleveland Heights, OH 44118",OH,44118,(440) 248-5755
Christian Assembly of God,Reverend Timothy R Scarbrough,Ohio,"415 N Main St Englewood, OH 45322",OH,45322,(937) 836-0439
Christian Center Assembly of God,"Reverend Charles Bunton, Jr.",Ohio,"324 E Dayton Yellow Spgs Yellow Springs, OH 45387",OH,45387,(937) 767-9133
Christian Heritage Assembly of God,Reverend Derek S Boivin,Ohio,"36465 Chester Rd Avon, OH 44011",OH,44011,(440) 934-5678
Christian Life Center,Reverend Jordan P Hansen,Ohio,"3489 Little York Rd Dayton, OH 45414",OH,45414,(937) 898-8811
Christian Life Center,,Ohio,"1972 E Summit Rd Kent, OH 44240",OH,44240,(330) 678-9234
Christian Life Center Assembly of God,,Ohio,"509 Roney Ln Cincinnati, OH 45244",OH,45244,(513) 528-3200
Christian Life Church,Reverend Christopher Woolley,Ohio,"6101 S Raccoon Rd Canfield, OH 44406",OH,44406,(330) 533-7769
City Alive Church,Reverend Joseph R Yergan,Ohio,"5716 Struthers Rd Lowellville, OH 44436",OH,44436,(330) 207-8138
City of Hope Church,Reverend Ameerah S Lewis,Ohio,"6164 Deer Run Rd Liberty Township, OH 45044",OH,45044,(513) 549-2041
City Reach Church Cincinnati,Reverend Justin C Maslanka,Ohio,"135 Williams St Lockland, OH 45215",OH,45215,(412) 321-3442
City Reach Church Cleveland East,Reverend Justin C Maslanka,Ohio,"1541 E 191st St Euclid, OH 44117",OH,44117,(412) 452-2301
City Reach Church Cleveland West,Reverend Justin C Maslanka,Ohio,"3801 Clark Ave Cleveland, OH 44109",OH,44109,(412) 452-2301
City Reach Church Toledo,,Ohio,"117 Main St Toledo, OH 43605",OH,43605,(419) 250-7587
CityReach Church,Reverend Justin C Maslanka,Ohio,"3801 Clark Ave Cleveland, OH 44109",OH,44109,(412) 452-2301
ClearView Church Assembly of God,Reverend Donovan E Reed,Ohio,"23963 Royalton Rd Columbia Station, OH 44028",OH,44028,(440) 236-3950
Cleveland Christian Assembly of God,Reverend Jeffrey D Brown,Ohio,"1029 W Schaaf Rd Cleveland, OH 44109",OH,44109,(440) 829-2522
Columbus Assembly of God,,Ohio,"1450 E Dublin Granville Rd Columbus, OH 43229",OH,43229,(614) 946-5936
Compass North Church,Reverend Joseph N Hunt,Ohio,"2268 S Arlington Rd Akron, OH 44319",OH,44319,(330) 644-1400
Compass North Church Canton,Reverend Christopher T Decker,Ohio,"6282 Nave St SW Canton, OH 44706",OH,44706,(330) 644-1400
Connection Church,Reverend Thomas I Broyles,Ohio,"1633 Portage Rd Wooster, OH 44691",OH,44691,(330) 262-3751
Connection Church Columbiana,Reverend Aaron C Hurd,Ohio,"134 Wolcott Dr Boardman, OH 44512",OH,44512,(330) 559-2802
Connection Meal,,Ohio,"32901 Vine St Willowick, OH 44095",OH,44095,(440) 749-4357
Cornerstone Assembly of God,Reverend Robert J Kester,Ohio,"917 Shamrock Dr Barnesville, OH 43713",OH,43713,(740) 425-2217
Cornerstone Assembly of God,Reverend Mark W Smith,Ohio,"8343 SR 73 Hillsboro, OH 45133",OH,45133,(937) 393-5188
Cornerstone Assembly of God,Reverend Kerry R Dean,Ohio,"185 W South Range Rd North Lima, OH 44452",OH,44452,(330) 549-0406
Cornerstone Assembly of God,,Ohio,"1028 Park St Sidney, OH 45365",OH,45365,(937) 498-1328
Covenant Assembly of God,Reverend William R Evans,Ohio,"1280 State Route 46 N Jefferson, OH 44047",OH,44047,(440) 858-7453
Covenant Life Fellowship Assembly of God,Reverend Eric J Diehl,Ohio,"5900 W Liberty St Hubbard, OH 44425",OH,44425,(330) 534-2820
Cross and Crown Church,,Ohio,"344 Avonwick Pl Columbus, OH 43230",OH,43230,(614) 477-6828
Cross Pointe Church,Reverend Brad A Myers,Ohio,"711 25th St NW Canton, OH 44709",OH,44709,(330) 492-9290
Crossroads Assembly of God Church,Reverend Michael O Boggs,Ohio,"10220 Wooster Pike Creston, OH 44217",OH,44217,(330) 435-4330
Crossroads Community Church Assembly of God,Reverend Santo Davila,Ohio,"43824 State Route 511 Oberlin, OH 44074",OH,44074,(440) 775-4451
D1 Ada Campus,,Ohio,"123 E Buckeye Ave Ada, OH 45810",OH,45810,(419) 692-6741
Dayspring Assembly of God,Reverend Cody C Winkler,Ohio,"17360 N Dixie Hwy Bowling Green, OH 43402",OH,43402,(419) 352-0672
DeepWell,,Ohio,"6442 Coppersmith Rd Sylvania, OH 43560",OH,43560,(330) 391-0525
Delta Assembly of God,Reverend James S Brankel,Ohio,"405 W Main St Delta, OH 43515",OH,43515,(419) 822-4975
Delta Church,Reverend Ashley R Hadinger,Ohio,"130 Burrer Dr Sunbury, OH 43074",OH,43074,(740) 972-9671
Destiny Church,Reverend Eric B Smith,Ohio,"4691 Bufort Blvd Huber Heights, OH 45424",OH,45424,(937) 236-2021
Dinner Bridge Church,"Reverend James P Turner, Jr.",Ohio,"514 W 3rd St Cincinnati, OH 45202",OH,45202,(513) 828-1615
Dry Bones Biker Church,Chaplain Dave E Rose,Ohio,"6166 Apache St Dayton, OH 45424",OH,45424,(937) 209-2263
Eagle Ministries Chapel,Reverend Robert W Moses,Ohio,"830 Rood Dr Akron, OH 44319",OH,44319,(330) 753-5700
El Camino Church,,Ohio,"1450 E Dublin Granville Rd Columbus, OH 43229",OH,43229,(951) 710-7800
Elevation City Church,Reverend Donte M Thomas,Ohio,"234 Center Rd Bedford, OH 44146",OH,44146,(440) 439-1638
Emmanuel Community Church,Reverend David V Verzilli,Ohio,"6512 Kirk Rd Canfield, OH 44406",OH,44406,(330) 799-6187
Encounter Church,Reverend Aaron C Pippin,Ohio,"728 N Countyline St Fostoria, OH 44830",OH,44830,(419) 435-8649
Erie Shores Assembly of God,Reverend Harry D Hunt,Ohio,"220 S Gill Rd Port Clinton, OH 43452",OH,43452,(419) 734-3322
Esperanza de Vida,,Ohio,"11460 Sebring Dr Forest Park, OH 45240",OH,45240,(513) 869-1727
Evangel Temple Assembly of God,Reverend David D Smith,Ohio,"802 Gay St Portsmouth, OH 45662",OH,45662,(740) 353-7655
Faith Assembly Worship Center,Reverend Jordan D Smith,Ohio,"2600 US Highway 40 London, OH 43140",OH,43140,(740) 852-4131
Faith Church,"Reverend Thomas E Groot, Jr.",Ohio,"1320 E Strub Rd Sandusky, OH 44870",OH,44870,(419) 625-6147
Family Church,"Reverend Luke L Meadows, III",Ohio,"715 E Central Ave Dayton, OH 45449",OH,45449,(937) 388-4435
Family Life Ministry Center,,Ohio,"Ste 117 56040 National Rd Bridgeport, OH 43912",OH,43912,(740) 738-0512
Father's Heart Healing Center,Reverend Daniel J Rebon,Ohio,"320 Woodlawn Ave Bucyrus, OH 44820",OH,44820,(419) 562-9760
First Assembly of God,Reverend Justin C Cluck,Ohio,"2833 US Highway 68 S Bellefontaine, OH 43311",OH,43311,(937) 593-4778
First Assembly of God,Reverend Samuel J Luthi,Ohio,"1105 Alpine Dr Bryan, OH 43506",OH,43506,(419) 636-7612
First Assembly of God,,Ohio,"2580 Western Ave Chillicothe, OH 45601",OH,45601,(740) 772-2459
First Assembly of God,Reverend Christopher M Steele,Ohio,"389 W Main Rd Conneaut, OH 44030",OH,44030,(440) 599-8852
First Assembly of God,Reverend Rodney R Brown,Ohio,"808 Metbliss Ave Delphos, OH 45833",OH,45833,(419) 692-6741
First Assembly of God,Reverend Glen D Hammons,Ohio,"124 Ash Ave Findlay, OH 45840",OH,45840,(419) 422-3019
First Assembly of God,,Ohio,"7219 State Route 118 Greenville, OH 45331",OH,45331,(937) 548-5445
First Assembly of God,Reverend Matthew D Coy,Ohio,"420 Ralph St Jackson, OH 45640",OH,45640,(740) 222-4882
First Assembly of God,Reverend Darrell R Bucher,Ohio,"1660 Findlay Rd Lima, OH 45801",OH,45801,(419) 229-5601
First Assembly of God,Reverend Steven T Patient,Ohio,"1921 W Main St Louisville, OH 44641",OH,44641,(330) 875-5883
First Assembly of God,Reverend Scott P Kirsch,Ohio,"1370 Richmond Rd Lyndhurst, OH 44124",OH,44124,(216) 291-4545
First Assembly of God,Reverend Mark R Lehman,Ohio,"1000 McPherson St Mansfield, OH 44903",OH,44903,(419) 529-6501
First Assembly of God,Reverend Jeremy S McGraw,Ohio,"325 Lake Ave NE Massillon, OH 44646",OH,44646,(330) 833-3121
First Assembly of God,Reverend Teryll D Rose,Ohio,"515 S Burnett Rd Springfield, OH 45505",OH,45505,(937) 322-9315
First Assembly of God,Reverend Russell L Nelson,Ohio,"4931 Southview Dr Vermilion, OH 44089",OH,44089,(440) 967-6228
First Assembly of God,Reverend Richard Weller,Ohio,"2640 Parkman Rd NW Warren, OH 44485",OH,44485,(330) 898-1775
First Assembly of God,Reverend Jeffery R Fountain,Ohio,"503 McIntire Ave Zanesville, OH 43701",OH,43701,(740) 453-4205
First Assembly of God Church,Reverend Todd E Troyer,Ohio,"45 E Harrison St Alliance, OH 44601",OH,44601,(330) 823-6457
Forward Church,,Ohio,"1482 N Pricetown Rd Diamond, OH 44412",OH,44412,(330) 501-9677
Freedom Assembly of God,Reverend Jason M Tatterson,Ohio,"5420 W Heisley Rd Mentor, OH 44060",OH,44060,(440) 622-8453
Gateway Church,,Ohio,"434 Main St Groveport, OH 43125",OH,43125,(614) 567-6065
Gateway Church Assembly of God,Reverend J Jason Toro,Ohio,"2300 Austinburg Rd Ashtabula, OH 44004",OH,44004,(440) 275-7720
Grace Crossing Assembly of God,,Ohio,"1553 Beaver Valley Rd Beavercreek, OH 45434",OH,45434,(937) 320-9111
Grace Hope Church,Reverend Matthew A Haflett,Ohio,"784 Bellbrook Ave Xenia, OH 45385",OH,45385,(937) 352-6269
Greater Cincinnati Russian Church Assembly of God,,Ohio,"894 State Route 28 Milford, OH 45150",OH,45150,(513) 831-8039
Hamilton Assembly of God,,Ohio,"1940 W Elkton Rd Hamilton, OH 45013",OH,45013,(513) 893-0534
Harbor of Hope Assembly of God,Reverend Dean C Myers,Ohio,"67667 Warnock Rd Saint Clairsville, OH 43950",OH,43950,(740) 695-2922
Harmony Church,,Ohio,"4422 Crossroads Ctr Columbus, OH 43232",OH,43232,(614) 783-3365
Harrison Avenue Assembly of God,"Reverend Joseph A Jay, Jr.",Ohio,"949 Harrison Ave Harrison, OH 45030",OH,45030,(513) 367-6109
Harvest Assembly of God,Reverend Lewis M Kinihira,Ohio,"8405 Pulsar Pl Columbus, OH 43240",OH,43240,(937) 430-0313
Harvest Assembly of God,Reverend Christopher S Tomaso,Ohio,"8075 Dellinger Rd Galloway, OH 43119",OH,43119,(614) 878-3830
Harvest Christian Assembly of God,Reverend Ronald E Biehl,Ohio,"8798 E Market St Warren, OH 44484",OH,44484,(330) 856-4523
Harvest Ridge Assembly of God,Reverend Kevin L Crow,Ohio,"35600 Lorain Rd North Ridgeville, OH 44039",OH,44039,(440) 327-0024
Harvest Time Assembly of God,Reverend Alejandro Colon,Ohio,"1790 W 130th St Brunswick, OH 44212",OH,44212,(330) 273-1815
Healing Word Assembly of God,Reverend Don L Shepherd,Ohio,"5303 S Dixie Hwy Franklin, OH 45005",OH,45005,(513) 423-0905
Highway Tabernacle,Reverend Gary A Gray,Ohio,"3000 S Raccoon Rd Youngstown, OH 44515",OH,44515,(330) 792-3000
Hilliard Missional Community,Reverend Nathaniel J Grenier,Ohio,"4004 Main St Hilliard, OH 43026",OH,43026,(614) 664-3993
Hope Church Assembly of God,Reverend James V Garrett,Ohio,"9899 US Highway 42 S Plain City, OH 43064",OH,43064,(614) 547-3334
Hope Hill,Reverend Ryan H Little,Ohio,"1542 Speice Ave Dayton, OH 45403",OH,45403,(937) 901-2992
Horizons Christian Assembly,Reverend Patrick J Robinson,Ohio,"14920 White Rd Middlefield, OH 44062",OH,44062,(440) 834-4776
Iglesia Cristiana Bethel,Reverend Raul E Cubas,Ohio,"57 W Elm St Monroe, OH 45050",OH,45050,(908) 447-0428
Immanuel Assembly of God,Reverend Galen Q E Bell,Ohio,"6486 W 130th St Middleburg Heights, OH 44130",OH,44130,(216) 676-0252
Indian Christian Fellowship,,Ohio,"2280 E Stroop Rd Dayton, OH 45440",OH,45440,(405) 227-8716
Innovation Church,,Ohio,"135 Byers Ave Akron, OH 44302",OH,44302,(330) 696-4157
International Christian Fellowship Center Assembly of God,Reverend Francis Banahene,Ohio,"1367 Hicks Blvd Fairfield, OH 45014",OH,45014,(513) 889-2919
Jesus Power Assembly of God,Reverend Bismark Osei Akomeah,Ohio,"5215 Cleveland Ave Columbus, OH 43231",OH,43231,(614) 882-0423
Jesus Power Assembly of God Church East,,Ohio,"2211 Lake Club Dr Columbus, OH 43232",OH,43232,(614) 562-2911
Journey  Church,,Ohio,"21220 Lorain Rd Fairview Park, OH 44126",OH,44126,(440) 331-7700
Journey Church,"Reverend Kenneth DeChant, III",Ohio,"565 S State Route 19 Fremont, OH 43420",OH,43420,(419) 307-6787
Journey Church Avon Campus,,Ohio,"995 Center Rd Avon, OH 44011",OH,44011,(440) 331-7700
Journey Church Twinsburg Campus,,Ohio,"10204 Ravenna Rd Twinsburg, OH 44087",OH,44087,(440) 331-7700
Kettering Assembly of God,Reverend Joshua M Plaisance,Ohio,"2250 E Stroop Rd Kettering, OH 45440",OH,45440,(937) 298-6221
Lake Drive Fellowship,,Ohio,"8158 Lake Dr NE Mineral City, OH 44656",OH,44656,(330) 365-9768
Lake Shore Assembly of God,Reverend James R Porostosky,Ohio,"8880 Lake Shore Blvd Mentor, OH 44060",OH,44060,(440) 257-4819
Lakeview Assembly of God,Reverend Nathan A Bacorn,Ohio,"17930 Mahoning Ave Lake Milton, OH 44429",OH,44429,(330) 654-3146
Liberty Assembly of God,Chaplain Patrick Mitchell,Ohio,"6779 Belmont Ave Liberty Township, OH 44420",OH,44420,(330) 539-0003
Life Church Assembly of God,Reverend Gregory S Coleman,Ohio,"10280 State Route 88 Garrettsville, OH 44231",OH,44231,(330) 527-2944
LifeChange Church,Reverend Corbin G Huffman,Ohio,"2525 Mount Vernon Rd Newark, OH 43055",OH,43055,(740) 233-6510
LifeChurch Cincinnati,Reverend Rebecca A Rife,Ohio,"260 Fairbanks Ave Cincinnati, OH 45204",OH,45204,(513) 471-6426
LifeChurch Strongsville,Reverend Joshua T Martino,Ohio,"11022 Webster Rd Strongsville, OH 44136",OH,44136,(440) 539-3476
LifeChurch West Chester,Reverend Bryan T Hart,Ohio,"8480 Cincinnati Columbus Rd West Chester, OH 45069",OH,45069,(513) 777-4771
Lifeway Church,Reverend Travis D Wright,Ohio,"742 Cookson Ave SE New Philadelphia, OH 44663",OH,44663,(330) 339-9734
Light City Church,Reverend Michele M Norfus,Ohio,"2 Ohio St Struthers, OH 44471",OH,44471,(561) 318-9538
Light of Hope Church,Reverend David F Davis,Ohio,"4777 Payne Ave Dayton, OH 45414",OH,45414,(937) 231-0583
Lisbon Assembly of God,Reverend Gregory S Pennington,Ohio,"39442 State Route 517 Lisbon, OH 44432",OH,44432,(330) 271-1050
Live Ready Church,Reverend Ruben M Villanueva,Ohio,"131A E Airport Hwy Swanton, OH 43558",OH,43558,(419) 825-6275
Living Faith Worship Center Assembly of God,Reverend Jeffrey L Layton,Ohio,"9898 Cleveland Ave NW Uniontown, OH 44685",OH,44685,(330) 497-5392
Living Hope Assembly of God,Reverend Joshua J Steinke,Ohio,"1130 Indiana Ave Saint Marys, OH 45885",OH,45885,(419) 394-5711
Miracle Revival Ministry Assemblies of God,,Ohio,"182 W Jackson St Painesville, OH 44077",OH,44077,(440) 521-0587
Mosaic Church,"Reverend Albert R Yanno, Jr.",Ohio,"8405 Pulsar Pl Columbus, OH 43240",OH,43240,(330) 519-0470
Mosaic Cincinnati,Reverend Joseph V Denbow,Ohio,"894 State Route 28 Milford, OH 45150",OH,45150,(513) 239-3022
Multiply Church,Reverend Timothy J Wolfe,Ohio,"6519 Tussing Rd Reynoldsburg, OH 43068",OH,43068,(614) 454-1157
New Beginnings Assembly of God,Reverend Sara L Davis,Ohio,"492 Williams Rd Columbus, OH 43207",OH,43207,(614) 497-2658
New Beginnings Assembly of God Church,Reverend Rex E King,Ohio,"733 N Sandusky St Tiffin, OH 44883",OH,44883,(419) 447-8320
New Faith Church Assembly of God,Reverend Richard R Vinson,Ohio,"6700 Thrush Dr Canal Winchester, OH 43110",OH,43110,(614) 837-6178
New Heights Church,Reverend Justin J Hansen,Ohio,"7350 Dixie Hwy Fairfield, OH 45014",OH,45014,(513) 874-8575
New Hope Assembly of God,,Ohio,"4807 State Rd Cleveland, OH 44109",OH,44109,(216) 741-0117
New Hope Assembly of God,Reverend Randall E Perkins,Ohio,"2020 Cinci-Zanes Rd SW Lancaster, OH 43130",OH,43130,(740) 687-3553
New Life Assembly of God,Reverend Philip R Foster,Ohio,"11640 Upper River Rd Athens, OH 45701",OH,45701,(740) 797-1589
New Life Assembly of God,,Ohio,"7766 Stoutsville Pike Circleville, OH 43113",OH,43113,(740) 500-1047
New Life Assembly of God,"Ralph E Vander Vlucht, Jr.",Ohio,"3120 Norcrest St Findlay, OH 45840",OH,45840,(419) 423-8465
New Life Assembly of God,Reverend David A Yarbrough,Ohio,"1961 Lafevre Rd Geneva, OH 44041",OH,44041,(440) 466-6093
New Life Assembly of God,Reverend Scott A Hile,Ohio,"290 Lincoln Ave Mount Gilead, OH 43338",OH,43338,(419) 946-5433
New Life Assembly of God,Reverend Ronald E Stafford,Ohio,"3230 Dustin Rd Oregon, OH 43616",OH,43616,(419) 691-7185
New Life Assembly of God,Reverend David G Allman,Ohio,"2250 E Western Reserve Poland, OH 44514",OH,44514,(330) 757-0727
New Life Assembly of God,,Ohio,"108 West St Wellington, OH 44090",OH,44090,(440) 647-3483
New Life Church,Reverend Eric L Prior,Ohio,"911 Orchard Ave Aurora, OH 44202",OH,44202,(330) 562-6285
New Life Church Stow,Reverend Eric L Prior,Ohio,"4415 Darrow Rd Stow, OH 44224",OH,44224,(330) 562-6285
New Life Community Church Assembly of God,Reverend David A McNeely,Ohio,"1489 State Route 511 Ashland, OH 44805",OH,44805,(419) 289-0107
New Life Fellowship Assembly of God,Reverend Timothy A Hume,Ohio,"999 Spinning Rd Dayton, OH 45431",OH,45431,(937) 252-2611
Newspring Church,Reverend Shannon D Wooten,Ohio,"1150 S Main St Springboro, OH 45066",OH,45066,(937) 748-0957
Nexus Christian Church,Reverend David B Pafford,Ohio,"1496 Deer Crossing Ln Columbus, OH 43085",OH,43085,(614) 802-9366
North Fairfield Assembly of God,Reverend Joseph L Green,Ohio,"107 E Main St North Fairfield, OH 44855",OH,44855,(419) 744-2335
North Olmsted Assembly of God Church,Reverend Michael D Reis,Ohio,"3874 Columbia Rd North Olmsted, OH 44070",OH,44070,(440) 777-9035
NOW Church,,Ohio,"111 W Mulberry St Baltimore, OH 43105",OH,43105,(740) 862-3088
Oasis Church Assembly of God,Reverend Vince E Cooper,Ohio,"275 Whittlesey Ave Norwalk, OH 44857",OH,44857,(419) 663-0463
Ohio Ministry Network,,Ohio,"8405 Pulsar Pl Columbus, OH 43240",OH,43240,(614) 396-0700
One Church,Reverend Gregory A Ford,Ohio,"817 N Hamilton Rd Gahanna, OH 43230",OH,43230,(614) 407-4115
One Church Lima,,Ohio,"3075 Yoakam Rd Lima, OH 45806",OH,45806,(419) 999-1615
Open Door Assembly of God,Reverend Francel J Parker,Ohio,"745 Upson St Akron, OH 44305",OH,44305,(330) 794-7948
Open Door Assembly of God Ministry,Reverend Somyida I Yameogo,Ohio,"4343 E Livingston Ave Columbus, OH 43227",OH,43227,(614) 266-5131
Our Church,Reverend Joshua M Latham,Ohio,"1849 Huffman Ave Dayton, OH 45403",OH,45403,(937) 516-5516
Painesville Assembly of God,Reverend Aaron M Taylor,Ohio,"10949 Johnnycake Ridge Painesville, OH 44077",OH,44077,(440) 354-6805
Parkview Assembly of God,Reverend Philip A Littlejohn,Ohio,"777 W Findlay St Carey, OH 43316",OH,43316,(419) 396-7171
Pentecostal Community Church,,Ohio,"828 W Fairview Ave Dayton, OH 45406",OH,45406,(937) 250-8861
Peoples Church Cincinnati,Reverend Christopher N Beard,Ohio,"220 WM Howard Taft Rd Cincinnati, OH 45219",OH,45219,(513) 751-1066
Peoples Church Cincinnati,Reverend Christopher N Beard,Ohio,"220 WM Howard Taft Rd Cincinnati, OH 45219",OH,45219,(513) 751-1066
Peoples Church East,,Ohio,"6421 Corbly Rd Cincinnati, OH 45230",OH,45230,(513) 580-8515
Peoples Church House to House,Reverend Thomas D Sherwood,Ohio,"2851 Harrison Ave Cincinnati, OH 45211",OH,45211,(513) 237-2155
Peoples Church West,Reverend Robert R Dothard,Ohio,"1520 Queen City Ave Cincinnati, OH 45214",OH,45214,(513) 510-1321
Practical Christian Living and Discipleship Ministry,,Ohio,"7275-C Dixie Hwy Fairfield, OH 45014",OH,45014,(513) 655-1251
Praise Assembly of God,Reverend Michael D Zenn,Ohio,"1004 N Main St Niles, OH 44446",OH,44446,(330) 652-9224
Praise Chapel Assembly of God,"Reverend Robert C Shank, Jr.",Ohio,"1204 McIntosh Ave Akron, OH 44314",OH,44314,(330) 745-4107
Radiant Life Church Assembly of God,Reverend Christopher L Gross,Ohio,"7100 Post Rd Dublin, OH 43016",OH,43016,(614) 889-8364
Radiant Life Church Assembly of God,Reverend Lance J Porubsky,Ohio,"844 Hartman Rd Wadsworth, OH 44281",OH,44281,(330) 335-1594
Radiant Life Church Orrville,Reverend D Anthony Johnson,Ohio,"2061 Wadsworth Rd Orrville, OH 44667",OH,44667,(330) 335-1594
REAL Church,Reverend James M Dewhurst,Ohio,"5780 Reynoldsburg Baltimore Rd Pickerington, OH 43147",OH,43147,(740) 400-4006
Real Life Assembly of God,Reverend Joseph E Winter,Ohio,"2300 Old State Route 32 Batavia, OH 45103",OH,45103,(513) 379-4746
Real Life Assembly of God,Reverend Benjamin M Rosser,Ohio,"12824 Salem Warren Rd Salem, OH 44460",OH,44460,(330) 332-0011
Redeemer Assembly of God,Reverend Francis K Asenso,Ohio,"Ste 200E 2236 S Hamilton Rd Columbus, OH 43232",OH,43232,(614) 577-0558
Rehoboth Assembly of God,Reverend Amon Kajabika,Ohio,"1407 E 3RD St Dayton, OH 45403",OH,45403,(937) 430-0313
